year month date start end interval status

2020 03 6 14:53 14:59 00:06 right
2020 03 6 15:00 15:01 00:00 right
2020 03 6 15:01 15:03 00:02 right
2020 03 6 15:06 15:11 00:06 crush
2020 03 6 16:08 19:23 03:14 right
2020 03 6 19:35 19:39 00:04 right
2020 03 6 19:40 21:11 01:32 crush
2020 03 9 10:42 10:49 00:07 right
2020 03 9 10:52 12:06 01:15 crush
2020 03 9 12:31 12:34 00:04 crush
2020 03 9 12:33 12:35 00:03 crush
2020 03 9 12:38 12:49 00:10 right
2020 03 9 12:50 12:54 00:05 crush
2020 03 9 12:53 14:06 01:14 crush
2020 03 9 14:05 14:07 00:03 crush
2020 03 9 14:06 14:22 00:17 crush
2020 03 9 14:23 14:24 00:02 crush
2020 03 9 14:25 14:30 00:06 crush
2020 03 9 14:29 14:38 00:10 crush
2020 03 9 14:37 14:40 00:04 crush
2020 03 9 14:39 15:13 00:35 crush
2020 03 9 15:34 15:39 00:06 crush
2020 03 12 18:13 18:28 00:14 right
2020 03 12 18:28 18:29 00:00 right
